###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57948.407310  16.738  0.048   732   35 o  0  64.73 266.37407 -29.31596  7395.60  9760.73 2.24 2.08  28.1 -0.556 18.47 19.77 02a57948o0331o
57948.416222  18.466  0.462   149   69 o  0   2.19 266.37407 -29.31596  7379.77  9721.85 2.25 2.08  27.7 -0.559 18.41 19.73 02a57948o0349o
57948.418663 -18.355  0.206  -165   34 o  0   1.60 266.37407 -29.31596  4995.39    94.05 2.35 2.07  48.7 -0.542 18.86 19.87 02a57948o0354o
57948.424601 -19.028  0.447   -89   40 o  0   4.20 266.37407 -29.31596  7450.85  9798.72 2.36 2.21  30.1 -0.536 18.42 19.71 02a57948o0366o
57948.433503 -20.011  1.308   -36   47 o  0   3.60 266.37407 -29.31596  7468.43  9679.82 2.22 2.11  18.8 -0.558 18.47 19.70 02a57948o0384o
57950.395714  10.911  0.001 156905   98 o  0 57088.63 266.37407 -29.31596 10466.11   183.84 3.76 2.80 -85.8 -0.463 18.58 20.17 01a57950o0318o
57950.403968  19.827  1.054    43   45 o  0   6.14 266.37407 -29.31596 10398.98   138.26 3.77 2.71 -84.0 -0.480 18.82 20.45 01a57950o0335o
57950.409791  12.769  0.001 28348   24 o  0 36859.26 266.37407 -29.31596  3094.06  9969.25 3.58 2.83 -81.6 -0.445 18.73 20.56 01a57950o0347o
57950.412213  18.359  0.253   164   42 o  0  32.59 266.37407 -29.31596 10381.62   290.47 3.79 2.71 -85.4 -0.476 18.84 20.43 01a57950o0352o
57950.418046  17.905  0.194   250   48 o  0  46.89 266.37407 -29.31596  3078.50 10121.52 3.46 2.81 -82.4 -0.446 18.44 20.13 01a57950o0364o
57950.425823  14.620  0.051  5150  265 o  0  16.20 266.37407 -29.31596   398.12   489.63 3.52 2.68  80.3 -0.551 17.59 19.72 01a57950o0380o
57958.374948  18.191  0.178   192   34 o  0  18.37 266.37407 -29.31596  4190.03  8795.78 3.07 2.65 -68.8 -0.492 18.73 20.50 01a57958o0007o
57958.383718  11.591  0.001 83841   42 o  0 62256.28 266.37407 -29.31596  4209.43  8869.14 3.42 3.22 -57.3 -0.428 18.68 20.41 01a57958o0025o
57958.391980  14.362  0.003  6532   21 o  0 2333.88 266.37407 -29.31596  4163.54  8825.22 3.59 2.92 -76.8 -0.452 18.62 20.40 01a57958o0042o
57960.377191  23.636 11.286     1   14 o  0   0.65 266.37407 -29.31596  6816.88  1105.82 2.14 1.99  62.1 -0.501 19.09 20.64 02a57960o0263o
57960.386093  20.736  1.223    18   22 o  0   0.41 266.37407 -29.31596  6802.30  1066.36 2.12 1.99  60.2 -0.499 19.05 20.59 02a57960o0281o
57960.394590  20.993  0.938    15   14 o  0   0.97 266.37407 -29.31596  6855.90  1143.81 2.25 2.10  55.5 -0.483 19.01 20.52 02a57960o0298o
57960.403496  23.690 13.846     1   17 o  0   1.74 266.37407 -29.31596  6877.23  1024.45 2.14 2.00  58.7 -0.509 18.96 20.47 02a57960o0316o
57966.346838  16.126  0.030  1286   38 o  0  29.00 266.37407 -29.31596  5843.62 10376.40 3.73 3.34 -82.1 -0.418 18.35 19.82 01a57966o0201o
57966.354611  12.165  0.001 49413   38 o  0 36237.65 266.37407 -29.31596  3339.42   729.35 3.59 3.43  46.2 -0.406 18.17 19.73 01a57966o0217o
57966.355098  11.950  0.001 60262   41 o  0 35521.04 266.37407 -29.31596  5865.28 10449.79 3.38 3.37 -86.2 -0.438 18.36 19.78 01a57966o0218o
57966.362865  12.803  0.001 27470   38 o  0 14097.56 266.37407 -29.31596  3358.57   801.95 3.14 3.07 -54.3 -0.416 18.19 19.75 01a57966o0234o
57966.363352  11.513  0.000 90143   38 o  0 160728.91 266.37407 -29.31596  5814.43 10404.72 3.42 3.00 -72.1 -0.450 18.49 19.81 01a57966o0235o
57966.371124  19.858  0.691    41   29 o  0   4.18 266.37407 -29.31596  3289.70   758.51 3.10 3.07 -89.1 -0.421 18.24 19.76 01a57966o0251o
57973.405397 -19.935  0.867   -39   33 o  0   1.26 266.37407 -29.31596  5136.56  3028.49 2.17 2.03 -72.5 -0.468 18.02 18.63 02a57973o0343o
57973.413833 -19.694  0.734   -48   35 o  0   1.00 266.37407 -29.31596  5121.16  2989.26 2.18 2.04 -77.3 -0.470 17.99 18.41 02a57973o0360o
57973.421750 -20.453  1.930   -24   46 o  0   1.13 266.37407 -29.31596  5173.20  3066.59 2.15 2.00 -76.7 -0.472 17.77 18.29 02a57973o0376o
57973.429614 -20.504  1.981   -23   45 o  0   0.78 266.37407 -29.31596  5191.93  2948.49 2.22 2.09 -79.2 -0.466 17.97 18.37 02a57973o0392o
57975.350389  17.493  0.178   365   65 o  0   4.48 266.37407 -29.31596  4798.20  8506.52 3.03 2.94 -31.9 -0.443 18.46 19.69 01a57975o0223o
57975.358238  11.858  0.001 65594   46 o  0 59998.65 266.37407 -29.31596  4815.21  8576.78 3.18 2.96   0.8 -0.451 18.41 19.68 01a57975o0238o
57975.366042  11.773  0.001 70901   59 o  0 37728.59 266.37407 -29.31596  4765.28  8530.14 3.68 3.55  24.9 -0.419 18.28 19.62 01a57975o0253o
57975.373900  19.420  0.756    62   47 o  0   4.55 266.37407 -29.31596  4751.62  8677.45 3.44 3.23  84.3 -0.427 18.29 19.56 01a57975o0268o
57977.341230 -20.919  1.353   -16   21 o  0  29.08 266.37407 -29.31596  7399.58   228.79 2.36 2.12  67.2 -0.487 18.86 20.18 02a57977o0220o
57977.349366 -21.338  3.244   -11   34 o  0   8.73 266.37407 -29.31596  9990.24  9921.39 2.54 2.21  50.0 -0.497 18.06 19.93 02a57977o0236o
57977.349881  19.791  0.566    44   25 o  0  12.52 266.37407 -29.31596  7383.92   191.84 2.29 2.08  62.4 -0.500 18.89 20.08 02a57977o0237o
57977.352458 -21.024  4.903   -14   69 o  0   0.69 266.37407 -29.31596    50.91  9986.22 2.32 1.95  20.9 -0.492 18.87 19.84 02a57977o0242o
57977.358080  18.266  0.340   179   61 o  0   4.54 266.37407 -29.31596  9975.73  9882.01 2.47 2.20  45.9 -0.513 18.06 19.83 02a57977o0253o
57977.358604  21.635  6.000     8   48 o  0  16.18 266.37407 -29.31596  7454.51   268.52 2.38 2.15  61.0 -0.486 18.85 19.98 02a57977o0254o
57977.361144 -18.926  1.260   -98  123 o  0   0.37 266.37407 -29.31596    72.37  9866.96 2.52 2.18  27.1 -0.471 18.78 19.76 02a57977o0259o
57977.366786  19.461  0.567    60   34 o  0  28.21 266.37407 -29.31596 10031.23  9961.37 2.63 2.31  53.2 -0.494 18.01 19.73 02a57977o0270o
57977.367297  18.542  0.383   139   53 o  0  24.50 266.37407 -29.31596  7475.57   148.62 2.56 2.30  59.2 -0.487 18.68 19.87 02a57977o0271o
57977.375490  17.160  0.112   497   56 o  0  76.49 266.37407 -29.31596 10067.62  9841.36 2.67 2.37  48.8 -0.494 18.03 19.65 02a57977o0287o
57979.340487  20.247  1.104    29   32 o  0   3.83 266.37407 -29.31596  3696.67  7791.88 3.03 2.80  -9.8 -0.463 18.74 20.66 01a57979o0201o
57979.348746  16.570  0.044   855   38 o  0  19.68 266.37407 -29.31596  3714.86  7862.03 3.20 2.88  -8.5 -0.443 18.74 20.63 01a57979o0217o
57981.324159  21.052  0.772    14   11 c  0   1.01 266.37407 -29.31596  5517.61   674.16 2.54 2.35  89.4 -0.412 19.51 21.17 02a57981o0171c
57981.332029  15.519  0.006  2250   14 c  0 1005.15 266.37407 -29.31596  7995.61 10375.69 2.81 2.51  58.7 -0.416 19.08 21.13 02a57981o0187c
57981.332512  22.666  3.760     3   12 c  0   0.72 266.37407 -29.31596  5502.88   636.08 2.60 2.38 -85.3 -0.405 19.51 21.15 02a57981o0188c
57981.340395  14.295  0.002  6949   13 c  0 10182.02 266.37407 -29.31596  7980.53 10336.61 2.78 2.51  58.9 -0.408 19.13 21.09 02a57981o0204c
57981.340880 -22.237  2.750    -5   13 c  0   0.96 266.37407 -29.31596  5572.54   713.98 2.64 2.41 -82.9 -0.403 19.51 21.12 02a57981o0205c
57981.348988  20.409  0.587    25   15 c  0   1.11 266.37407 -29.31596  8050.22 10415.64 2.76 2.50  56.8 -0.414 19.06 21.07 02a57981o0221c
57981.349472 -21.201  1.211   -12   14 c  0   0.74 266.37407 -29.31596  5591.10   596.84 2.62 2.38 -82.2 -0.404 19.49 21.09 02a57981o0222c
57981.357287  19.037  0.157    88   14 c  0   1.92 266.37407 -29.31596  8068.72 10295.72 2.73 2.54  61.0 -0.412 19.10 21.03 02a57981o0238c
57983.325453  18.286  0.343   176   60 o  0  12.55 266.37407 -29.31596  5563.13 10184.19 3.21 2.63 -75.7 -0.500 18.83 20.64 01a57983o0106o
57983.334279  11.906  0.000 62768   29 o  0 123863.96 266.37407 -29.31596  5600.21 10258.54 3.48 2.94 -77.2 -0.454 18.73 20.60 01a57983o0123o
57983.342601 -22.932 10.333    -2   25 o  0   4.62 266.37407 -29.31596  3057.22   615.09 2.93 2.58  79.0 -0.477 18.32 20.42 01a57983o0139o
57983.343108  13.679  0.002 12257   30 o  0 4513.91 266.37407 -29.31596  5531.97 10214.87 3.43 2.71 -77.0 -0.474 18.75 20.52 01a57983o0140o
